id;isbn;name;publish_year;copies;cover;cover_content_type
1;bypassing opt;installation;Argentine Peso;85835;../fake-data/blob/hipster.png;image/png
2;neural-net re;Buckinghamshire Future-proofed deposit;Quality;39757;../fake-data/blob/hipster.png;image/png
3;Cambridgeshir;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216;../fake-data/blob/hipster.png;image/png
4;Borders conte;Tasty Customer Human;pink even-keeled;70035;../fake-data/blob/hipster.png;image/png
5;programming S;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;94013;../fake-data/blob/hipster.png;image/png
6;Supervisor cl;Latvia;Ports Manager Fish;1807;../fake-data/blob/hipster.png;image/png
7;Bedfordshire;navigate;program alarm;30806;../fake-data/blob/hipster.png;image/png
8;Benin Berkshi;dedicated Persevering;Coordinator Cambridgeshire Investor;43439;../fake-data/blob/hipster.png;image/png
9;dot-com payme;white sensor local;calculate;4360;../fake-data/blob/hipster.png;image/png
10;Representativ;Response Human;back up Factors;33075;../fake-data/blob/hipster.png;image/png
